Name,Bronze,Gold,Silver,Total
Christine Marie Magnuson,0,0,2,2
"Clarence Linden ""Buster"" Crabbe, Jr.",1,1,0,2
Clment Lefert,0,1,1,2
Cody Miller,1,1,0,2
Constance Mabel "Connie" Jeans,0,0,2,2
Courtney Amanda Shealy (-Hart),0,2,0,2
Cristina Teuscher,1,1,0,2
Daniel Ploug "Dan" Jorgensen,1,1,0,2
Danila Sergeyevich "Dan" Izotov,1,0,1,2
David "Dave" Davies,1,0,1,2
David Charles Johnson,0,2,0,2
David Dennis "Dave" Wilson,0,1,1,2
David Edward Plummer,1,1,0,2
David William Fairbank,0,2,0,2
Deborah "Debbie" Clarke (-Zemba),2,0,0,2
Diana Iuliana Mocanu,0,2,0,2
Dirk Richter,2,0,0,2
Dniel Gyurta,0,1,1,2
Domenico Fioravanti,0,2,0,2
Donald Alexander "Sandy" Goss,0,0,2,2
"Donald Ward ""Don"" McKenzie, Jr.",0,2,0,2
Douglas Albert "Doug" Russell,0,2,0,2
Douglas Dale "Doug" Northway,1,1,0,2
Duncan Alexander Goodhew,1,1,0,2
Duncan John D'Arcy Armstrong,0,1,1,2
Duncan William MacNaughton Scott,0,0,2,2
Egon Henninger,0,0,2,2
Elizabeth Anne "Beth" Botsford,0,2,0,2
Elizabeth Lyon Beisel,1,0,1,2
Elizabeth Valerie Davies (-Latham),2,0,0,2
"Ellen Elizabeth King (-McPhearson, -Pearson)",0,0,2,2
Elvira Adolfovna Vasilkova (-Buchenkova),1,0,1,2
Enith Sijtje Maria Brigitha (-Salle),2,0,0,2
Eric John Namesnik,0,0,2,2
Erica Georgine Terpstra,1,0,1,2
Ernst Heinrich Hoppenberg,0,2,0,2
Ethel Minnie Lackie (-Watkins),0,2,0,2
Evelyn Tokue Kawamoto (-Konno),2,0,0,2
FINKE Bobby,0,1,1,2
FOSTER Carson,1,0,1,2
Faith Yvonne Leech (-Touhy),1,1,0,2
Federica Pellegrini,0,1,1,2
Felicity Madeline Galvez,0,2,0,2
Felix Jeffrey "Jeff" Farrell,0,2,0,2
Ferenc Csk (Lengvri-),1,1,0,2
Fernando "Xuxa" de Queiroz Scherer,2,0,0,2
Frederick Claude Vivian "Fred" Lane,0,2,0,2
Frederick Weber "Fred" Schmidt,1,1,0,2
Frederike Johanna Maria "Femke" Heemskerk,0,1,1,2
GUILIANO Chris,0,1,1,2
Gabriele Detti,2,0,0,2
Garrett Weber-Gale,0,2,0,2
Gary Arthur Chapman,1,1,0,2
Gary Robert Conelly,0,2,0,2
Gary Steven Ilman,0,2,0,2
Geoffrey Andrew "Geoff" Huegill,1,0,1,2
Georg Zacharias,1,1,0,2
George Edward Vernot,1,0,1,2
George Harold Kojac,0,2,0,2
George Ritchie Hodgson,0,2,0,2
George Thomas DiCarlo,0,1,1,2
Gerhard Hetz,1,0,1,2
Gisela Jacob-Arendt,1,0,1,2
Glenn Edward "Ed" Moses,0,1,1,2
Glenn Robert Buchanan,2,0,0,2
"Grace McKenzie (-Nelson, -Morgan)",0,0,2,2
Gregory Francis "Greg" Rogers,1,0,1,2
"Greta Marie Andersen (-Sonnichsen, -Veress)",0,1,1,2
Grgory Mallet,0,0,2,2
Gudrun Beckmann,2,0,0,2
Gyrgy Mitr,1,0,1,2
Gza Kdas,1,0,1,2
HAUGHEY Siobhan Bernadette,2,0,0,2
HOBSON Luke,1,0,1,2
Hannelore Anke (-Hofmann),0,2,0,2
Hayley Jane Lewis (-Taylor),1,0,1,2
Hideko Maehata (-Hyodo),0,1,1,2
Hinkelien Schreuder,0,1,1,2
Hiroshi Suzuki,0,0,2,2
Hkan Malmrot,0,2,0,2
Igor Anatolyevich Grivennikov,1,0,1,2
Ilze "Ilsa" Konrads,0,0,2,2
Ina Beyermann,1,0,1,2
Irene May Guest (-Loog),0,1,1,2
"Iris Vera Tanner (-Murrell, -Curran)",0,0,2,2
Irma Heijting-Schuhmacher,1,0,1,2
Istvn Brny,1,0,1,2
Iurie Bacatov,0,0,2,2
Ivan Cuthbert Stedman,0,0,2,2
Ivar Stukolkin,1,1,0,2
JACK Shayna,0,2,0,2
"Jack Babashoff, Jr.",0,1,1,2
James "Jimmy" Feigen,0,1,1,2
James George Guy,0,0,2,2
