Name,Bronze,Gold,Silver,Total
Gerhard Hennige,1,0,1,2
Gerhard Karl Eduard Stck,1,1,0,2
Gisela Khler-Birkemeyer,1,0,1,2
Glenn Foster Hardin,0,1,1,2
Godfrey Lionel Rampling,0,1,1,2
Gregory James "Greg" Rutherford,1,1,0,2
Grit Breuer (-Springstein),2,0,0,2
Guy Drut,0,1,1,2
HALL Quincy,0,2,0,2
HAYDOCK-WILSON Alex,2,0,0,2
HUDSON-SMITH Matthew,1,0,1,2
Haile Gebrselassie,0,2,0,2
Halina Sylwia Richter-Grecka-Herrmann,1,1,0,2
Hannes Waldemar Cierpinski,0,2,0,2
Hans Grodotzki,0,0,2,2
Hans-Georg Reimann,1,0,1,2
Hans-Joachim Walde,1,0,1,2
Harald Schmid,2,0,0,2
Harold Allan Wilson,0,1,1,2
Harold Marion Osborn (Osborne-),0,2,0,2
Harold Maurice Abrahams,0,1,1,2
"Harry Lee ""Butch"" Reynolds, Jr.",0,1,1,2
Hartwig Gauder,1,1,0,2
Hasna Benhassi,1,0,1,2
Hayes Wendell Jones,1,1,0,2
"Heather Joy Armitage (-Young, -McClelland)",1,0,1,2
Heather Regina Hunte-Oakes,2,0,0,2
Heinrich-Otto "Heinz" Ulzheimer,2,0,0,2
Helen Herring Stephens,0,2,0,2
Henry Lon mile Deloge,0,0,2,2
Henry William Carr,0,2,0,2
Herman Ronald Frazier,1,1,0,2
Hermann Engelhard,1,0,1,2
Hestrie Storbeck-Cloete (-Els),0,0,2,2
Hezekiah Munyoro Nyamau,0,1,1,2
Hilda Gwendolyn Strike (-Sisson),0,0,2,2
"Hildegard Falck (Janze-, -Kimmich)",1,1,0,2
Hollis Conway,1,0,1,2
Howard Van Nostrand Valentine,0,1,1,2
Igor Aramovich Ter-Ovanesyan,2,0,0,2
Igor Leonidovich Trandenkov,0,0,2,2
Igor Vyacheslavovich Astapkovich,1,0,1,2
Imre Nmeth,1,1,0,2
"Inesa Mykolavna Kravets (Shuliak-, -Izvachuk)",0,1,1,2
Ingeborg "Inge" Helten,1,0,1,2
Ingrid Mickler-Becker (-Inglau),0,2,0,2
Iolanda Bala (-Ster),0,2,0,2
Irina Natanovna Press,0,2,0,2
Istvn (Stefan) Mudin,1,0,1,2
Ivan Grigoryevich Tikhon,1,0,1,2
Ivanka Marinova Khristova (Todorova-),1,1,0,2
Ivo Van Damme,0,0,2,2
JEFFERSON Melissa,1,1,0,2
Jacek Roman Wszoa,0,1,1,2
Jack Wells Davis,0,0,2,2
Jadwiga Wajs-Marcinkiewicz (-Grtkiewicz),1,0,1,2
James Edwin "Ted" Meredith,0,2,0,2
James Emanuel "Jim" Fuchs,2,0,0,2
James Francis "Jim" Thorpe,0,2,0,2
James Randel "Randy" Matson,0,1,1,2
James Ray "Jim" Hines,0,2,0,2
James Wilson,1,0,1,2
Javier Sotomayor Sanabria,0,1,1,2
Jean Chastani,1,0,1,2
Jefferson Leonardo Prez Quezada,0,1,1,2
Jennifer "Jenn" Stuczynski-Suhr,0,1,1,2
Jessica Phyllis Ennis-Hill,0,1,1,2
Joaquim Carvalho Cruz,0,1,1,2
Jocelyn Delecour,2,0,0,2
Johanna Schaller-Klier,0,1,1,2
John Adolf Fredrik Zander,1,0,1,2
John Arthur Biller,1,0,1,2
John Carl Godina,1,0,1,2
John Carlyle "Johnny" Garrels,1,0,1,2
John Curtis Thomas,1,0,1,2
John Edward "Jack" London,1,0,1,2
John Fredrik Mikaelsson,0,2,0,2
John Gates Powell,2,0,0,2
John Hugh Cooper,0,0,2,2
John Lincoln Eisele,1,0,1,2
